driverId,lap,stop,time,duration,Season,Round
zhou,18,1,15:34:18,32.203,2022,4
mick_schumacher,18,1,15:34:18,31.320,2022,4
max_verstappen,19,1,15:34:49,30.001,2022,4
leclerc,19,1,15:34:56,31.794,2022,4
norris,19,1,15:35:07,30.070,2022,4
ricciardo,30,3,15:51:37,30.155,2022,4
leclerc,49,2,16:16:19,30.042,2022,4
perez,50,2,16:17:38,29.627,2022,4
max_verstappen,51,2,16:18:44,29.942,2022,4
mick_schumacher,52,2,16:22:04,30.984,2022,4
leclerc,53,3,16:22:17,36.560,2022,4
tsunoda,11,1,15:51:11,18.870,2022,5
kevin_magnussen,12,1,15:52:43,19.760,2022,5
mick_schumacher,14,1,15:55:54,20.413,2022,5
alonso,15,1,15:57:23,21.638,2022,5
gasly,16,1,15:58:56,19.543,2022,5
albon,16,1,15:59:11,20.059,2022,5
norris,18,1,16:02:13,19.986,2022,5
hamilton,22,1,16:08:23,18.820,2022,5
leclerc,24,1,16:11:03,19.697,2022,5
max_verstappen,26,1,16:14:04,18.798,2022,5
bottas,26,1,16:14:35,19.614,2022,5
sainz,27,1,16:15:51,22.063,2022,5
perez,27,1,16:16:00,18.519,2022,5
ricciardo,30,1,16:21:25,19.484,2022,5
latifi,34,1,16:28:20,19.185,2022,5
russell,40,1,16:36:53,19.035,2022,5
stroll,40,1,16:37:28,19.074,2022,5
gasly,40,2,16:37:43,19.007,2022,5
perez,41,2,16:38:38,18.433,2022,5
ocon,41,1,16:39:21,19.019,2022,5
vettel,41,1,16:39:42,19.861,2022,5
ricciardo,41,2,16:39:49,19.280,2022,5
tsunoda,41,2,16:40:43,19.618,2022,5
kevin_magnussen,42,2,16:41:34,20.673,2022,5
mick_schumacher,54,2,17:03:43,32.381,2022,5
hamilton,1,1,15:05:05,31.054,2022,6
kevin_magnussen,1,1,15:05:25,29.632,2022,6
sainz,10,1,15:18:23,22.341,2022,6
alonso,10,1,15:18:24,22.375,2022,6
gasly,10,1,15:18:27,22.008,2022,6
zhou,10,1,15:18:29,23.109,2022,6
tsunoda,11,1,15:19:52,23.083,2022,6
ricciardo,11,1,15:19:54,22.124,2022,6
albon,11,1,15:20:05,23.419,2022,6
norris,12,1,15:21:18,21.916,2022,6
mick_schumacher,12,1,15:21:23,23.582,2022,6
latifi,12,1,15:21:38,23.189,2022,6
russell,13,1,15:22:29,22.154,2022,6
max_verstappen,13,1,15:22:30,22.173,2022,6
ocon,13,1,15:22:43,22.137,2022,6
bottas,14,1,15:24:08,22.987,2022,6
stroll,14,1,15:24:34,22.833,2022,6
perez,17,1,15:28:29,22.032,2022,6
leclerc,21,1,15:34:08,21.794,2022,6
vettel,21,1,15:35:06,22.536,2022,6
hamilton,22,2,15:36:50,22.105,2022,6
albon,25,2,15:41:42,22.657,2022,6
latifi,26,2,15:43:09,22.311,2022,6
stroll,27,2,15:44:33,23.394,2022,6
max_verstappen,28,2,15:44:56,21.966,2022,6
gasly,29,2,15:47:23,27.947,2022,6
kevin_magnussen,29,2,15:47:59,23.878,2022,6
mick_schumacher,30,2,15:48:45,23.127,2022,6
sainz,31,2,15:49:46,21.867,2022,6
alonso,31,2,15:50:10,21.914,2022,6
stroll,1,1,16:07:59,26.731,2022,7
latifi,1,1,16:08:10,36.773,2022,7
gasly,2,1,16:10:02,35.486,2022,7
stroll,2,2,16:10:09,32.750,2022,7
latifi,2,2,16:10:20,36.351,2022,7
mick_schumacher,4,1,16:13:36,27.637,2022,7
vettel,6,1,16:16:58,24.965,2022,7
