driverId,lap,stop,duration,Season,Round
ricciardo,17,1,24.915,2022,1
stroll,18,1,25.739,2022,1
hulkenberg,19,1,27.365,2022,1
norris,24,1,24.568,2022,1
alonso,25,2,24.909,2022,1
hamilton,27,2,25.796,2022,1
tsunoda,29,2,24.35,2022,1
max_verstappen,30,2,24.937,2022,1
ocon,30,2,25.393,2022,1
leclerc,31,2,24.527,2022,1
gasly,32,2,25.875,2022,1
latifi,32,2,24.778,2022,1
sainz,33,2,24.438,2022,1
perez,33,2,24.173,2022,1
ricciardo,8,1,20.65,2022,2
stroll,13,1,22.339,2022,2
albon,13,1,20.683,2022,2
perez,15,1,20.481,2022,2
gasly,15,1,22.82,2022,2
leclerc,16,1,21.038,2022,2
max_verstappen,16,1,20.731,2022,2
sainz,16,1,21.521,2022,2
russell,16,1,21.415,2022,2
alonso,16,1,21.543,2022,2
bottas,16,1,22.561,2022,2
ocon,16,1,21.141,2022,2
norris,16,1,20.383,2022,2
zhou,16,1,33.734,2022,2
zhou,27,2,15.103,2022,2
bottas,35,2,22.71,2022,2
kevin_magnussen,37,1,22.374,2022,2
hulkenberg,37,1,21.425,2022,2
hamilton,40,1,21.788,2022,2
stroll,3,1,18.242,2022,3
stroll,4,2,18.56,2022,3
latifi,13,1,18.552,2022,3
mick_schumacher,14,1,19.039,2022,3
ocon,17,1,19.128,2022,3
max_verstappen,18,1,18.281,2022,3
tsunoda,18,1,18.443,2022,3
perez,20,1,17.434,2022,3
norris,20,1,17.556,2022,3
ricciardo,21,1,18.15,2022,3
gasly,21,1,18.926,2022,3
zhou,21,1,18.38,2022,3
leclerc,22,1,17.973,2022,3
hamilton,22,1,17.877,2022,3
bottas,22,1,18.413,2022,3
russell,23,1,18.479,2022,3
stroll,23,3,20.402,2022,3
latifi,23,2,17.936,2022,3
alonso,39,1,18.796,2022,3
kevin_magnussen,39,1,19.111,2022,3
alonso,53,2,18.394,2022,3
albon,57,1,19.845,2022,3
ricciardo,2,1,32.362,2022,4
ricciardo,16,2,30.422,2022,4
vettel,17,1,30.484,2022,4
gasly,17,1,30.405,2022,4
albon,17,1,30.793,2022,4
perez,18,1,30.366,2022,4
russell,18,1,31.079,2022,4
bottas,18,1,40.957,2022,4
kevin_magnussen,18,1,33.765,2022,4
tsunoda,18,1,30.372,2022,4
stroll,18,1,32.667,2022,4
hamilton,18,1,32.74,2022,4
ocon,18,1,31.409,2022,4
latifi,18,1,31.125,2022,4
zhou,18,1,32.203,2022,4
