driverId,position,time,number,Season,Round
max_verstappen,3,120.539,5,2021,3
sainz,4,120.239,5,2021,3
perez,5,120.471,5,2021,3
norris,6,119.045,5,2021,3
ocon,7,119.763,5,2021,3
leclerc,8,119.844,5,2021,3
gasly,9,119.657,5,2021,3
vettel,10,119.15299999999999,5,2021,3
russell,11,118.41,5,2021,3
giovinazzi,12,119.148,5,2021,3
ricciardo,13,120.17,5,2021,3
alonso,14,119.449,5,2021,3
tsunoda,15,119.327,5,2021,3
stroll,16,119.384,5,2021,3
latifi,17,119.142,5,2021,3
mick_schumacher,18,119.12,5,2021,3
mazepin,19,119.345,5,2021,3
bottas,1,130.372,6,2021,3
hamilton,2,129.497,6,2021,3
max_verstappen,3,128.636,6,2021,3
sainz,4,127.91,6,2021,3
max_verstappen,1,86.19,1,2021,4
hamilton,2,87.702,1,2021,4
leclerc,3,89.44200000000001,1,2021,4
bottas,4,90.174,1,2021,4
ricciardo,5,91.083,1,2021,4
perez,6,91.943,1,2021,4
ocon,7,92.775,1,2021,4
sainz,8,93.5,1,2021,4
norris,9,93.959,1,2021,4
alonso,10,94.655,1,2021,4
stroll,11,95.051,1,2021,4
vettel,12,95.49799999999999,1,2021,4
gasly,13,96.03,1,2021,4
raikkonen,14,96.74799999999999,1,2021,4
giovinazzi,15,97.299,1,2021,4
mick_schumacher,16,97.64,1,2021,4
russell,17,98.084,1,2021,4
tsunoda,18,98.543,1,2021,4
latifi,19,99.17699999999999,1,2021,4
mazepin,20,99.826,1,2021,4
max_verstappen,1,83.561,2,2021,4
hamilton,2,83.798,2,2021,4
leclerc,3,84.94800000000001,2,2021,4
bottas,4,85.251,2,2021,4
ricciardo,5,85.429,2,2021,4
perez,6,85.241,2,2021,4
ocon,7,85.631,2,2021,4
sainz,8,85.97,2,2021,4
norris,9,86.5,2,2021,4
alonso,10,86.882,2,2021,4
stroll,11,87.001,2,2021,4
vettel,12,87.277,2,2021,4
gasly,13,87.333,2,2021,4
raikkonen,14,87.611,2,2021,4
